LOCATION,TIME,Value
BGR,2019-Q2,0.591437158
BGR,2019-Q3,0.567909373
BGR,2019-Q4,0.640259306
BGR,2020-Q1,0.445050608
BGR,2020-Q2,-10.069032243
BGR,2020-Q3,4.281045762
ROU,2019-Q1,1.913975601
ROU,2019-Q2,0.386355225
ROU,2019-Q3,0.865542667
ROU,2019-Q4,1.144696959
ROU,2020-Q1,0.170785544
ROU,2020-Q2,-12.15886766
ROU,2020-Q3,6.057459147
ROU,2020-Q4,5.300335926
